qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
F7:EF:1B:18:DB:33,2.9,2900,GOOD,GOOD,70.0,True,-64,RSSI -64 | Battery 2.9V,2025-09-17T20:17:08.355273Z
C6:6E:17:27:B8:78,2.9,2900,GOOD,GOOD,70.0,True,-79,RSSI -79 | Battery 2.9V,2025-09-17T20:17:08.356272Z
E4:FB:62:04:7F:94,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:08.356272Z
C7:D4:92:21:66:3B,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:08.356272Z
E0:69:30:86:06:8F,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:08.362277Z
E3:E1:49:8E:90:76,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.368346Z
F5:8D:97:B9:36:D4,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.370268Z
C8:64:5E:15:62:6B,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:08.374281Z
F8:1D:AC:CC:B1:77,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:08.377267Z
DC:EE:EC:25:95:C6,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.384360Z
D7:73:94:8C:E3:33,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:08.389378Z
DC:3D:63:E8:41:0E,2.9,2900,GOOD,GOOD,70.0,True,-67,RSSI -67 | Battery 2.9V,2025-09-17T20:17:08.391377Z
F8:CF:B6:0F:24:D5,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:08.394392Z
F3:CA:93:47:F7:7D,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:08.448422Z
E9:9E:B3:8E:71:1F,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:08.453012Z
F8:88:3B:4F:F1:E4,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:08.454535Z
FC:73:AC:1F:BD:DE,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-17T20:17:08.455501Z
EA:3F:58:4B:0A:D6,3.0,3000,NEW,GOOD,0,True,-62,RSSI -62 | Battery 3.0V,2025-09-17T20:17:08.457500Z
D6:4B:21:CC:87:77,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.458527Z
C7:66:A4:03:75:83,3.0,3000,NEW,GOOD,0,True,-53,RSSI -53 | Battery 3.0V,2025-09-17T20:17:08.462524Z
C0:74:E3:15:A6:0F,3.0,3000,NEW,GOOD,0,True,-62,RSSI -62 | Battery 3.0V,2025-09-17T20:17:08.463501Z
E7:30:30:84:9B:5D,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:08.466500Z
F7:71:27:D4:29:EF,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.467518Z
ED:72:2A:58:65:86,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:08.472045Z
CA:D4:B8:3B:FE:94,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-17T20:17:08.473435Z
C4:40:77:AD:4B:1F,2.9,2900,GOOD,GOOD,70.0,True,-61,RSSI -61 | Battery 2.9V,2025-09-17T20:17:08.475452Z
E6:87:12:1F:60:DD,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.485455Z
C7:28:BE:D2:83:03,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:08.487435Z
C2:82:42:C4:AA:92,3.0,3000,NEW,GOOD,0,True,-65,RSSI -65 | Battery 3.0V,2025-09-17T20:17:08.495406Z
D7:A3:37:E0:86:64,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-17T20:17:08.496430Z
D0:EF:8D:C4:E6:8E,3.0,3000,NEW,GOOD,0,True,-56,RSSI -56 | Battery 3.0V,2025-09-17T20:17:08.549530Z
D5:BD:C2:AE:97:A6,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.550420Z
DF:D5:71:BC:CA:16,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:08.552437Z
E8:8D:03:71:2C:52,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:08.554520Z
DE:BF:95:D7:41:CE,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.557444Z
F3:4D:97:13:6F:72,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-17T20:17:08.558439Z
F6:21:AB:AD:2C:83,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.563431Z
F0:05:0C:06:27:11,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.568435Z
FD:7E:A3:53:21:9D,3.0,3000,NEW,GOOD,0,True,-60,RSSI -60 | Battery 3.0V,2025-09-17T20:17:08.569433Z
FD:8B:35:86:0D:9D,3.0,3000,NEW,GOOD,0,True,-57,RSSI -57 | Battery 3.0V,2025-09-17T20:17:08.571511Z
E3:28:C8:F7:49:87,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-17T20:17:08.574498Z
F8:6A:06:48:2D:5C,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:08.576518Z
E3:F1:EB:45:F7:18,2.9,2900,GOOD,GOOD,70.0,True,-66,RSSI -66 | Battery 2.9V,2025-09-17T20:17:08.578761Z
D1:C1:CD:94:D3:0C,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.580480Z
F5:62:A7:BA:77:05,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.583201Z
DC:F0:99:B3:2C:75,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:08.587929Z
F8:BD:74:1F:4E:FA,3.0,3000,NEW,GOOD,0,True,-80,RSSI -80 | Battery 3.0V,2025-09-17T20:17:08.647382Z
F5:BA:5C:BC:46:4D,3.0,3000,NEW,GOOD,0,True,-67,RSSI -67 | Battery 3.0V,2025-09-17T20:17:08.650379Z
F5:4F:65:16:E7:15,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:08.652366Z
C3:DD:D5:B1:47:B6,2.9,2900,GOOD,GOOD,70.0,True,-67,RSSI -67 | Battery 2.9V,2025-09-17T20:17:08.655373Z
C6:D3:1B:7B:AE:D6,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.657415Z
EE:51:EA:14:49:7D,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.663880Z
D7:7D:DD:7B:EC:2B,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.668984Z
DC:14:51:1F:EF:DC,2.9,2900,GOOD,GOOD,70.0,True,-64,RSSI -64 | Battery 2.9V,2025-09-17T20:17:08.670886Z
DA:35:E3:55:9B:78,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.672953Z
FE:B1:EB:25:7F:D7,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:08.675986Z
C9:45:FC:05:81:91,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.680879Z
D7:E2:3A:BD:64:38,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:08.686015Z
CC:B6:75:83:36:BE,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:08.693143Z
CD:DE:6A:8E:12:DE,3.0,3000,NEW,GOOD,0,True,-58,RSSI -58 | Battery 3.0V,2025-09-17T20:17:08.694139Z
D2:82:20:C2:94:5C,3.0,3000,NEW,GOOD,0,True,-62,RSSI -62 | Battery 3.0V,2025-09-17T20:17:08.748013Z
E9:9E:13:9D:2F:E5,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:08.750625Z
CA:9F:CB:55:5C:0D,3.0,3000,NEW,GOOD,0,True,-69,RSSI -69 | Battery 3.0V,2025-09-17T20:17:08.753623Z
F6:2C:47:66:9B:EE,2.9,2900,GOOD,GOOD,70.0,True,-68,RSSI -68 | Battery 2.9V,2025-09-17T20:17:08.760625Z
CF:3E:7C:3D:A7:8D,3.0,3000,NEW,GOOD,0,True,-64,RSSI -64 | Battery 3.0V,2025-09-17T20:17:08.761624Z
EC:DF:9B:55:22:30,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:08.777816Z
E6:0C:F1:23:2D:D7,3.0,3000,NEW,GOOD,0,True,-69,RSSI -69 | Battery 3.0V,2025-09-17T20:17:08.778861Z
EE:21:3E:7E:19:7B,3.0,3000,NEW,GOOD,0,True,-62,RSSI -62 | Battery 3.0V,2025-09-17T20:17:08.782831Z
DF:2C:AD:83:CA:6B,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.785823Z
CA:E5:A0:A6:0B:B9,3.0,3000,NEW,GOOD,0,True,-73,RSSI -73 | Battery 3.0V,2025-09-17T20:17:08.786796Z
D9:91:0B:84:8D:34,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.787823Z
E8:A9:78:CB:A5:C7,3.0,3000,NEW,GOOD,0,True,-58,RSSI -58 | Battery 3.0V,2025-09-17T20:17:08.788823Z
DD:6F:6C:79:18:FA,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-17T20:17:08.850874Z
F0:EB:A2:76:A5:97,2.9,2900,GOOD,GOOD,70.0,True,-67,RSSI -67 | Battery 2.9V,2025-09-17T20:17:08.855938Z
E1:3F:31:B7:F8:E1,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-17T20:17:08.863148Z
EF:B0:45:A3:C1:F4,3.0,3000,NEW,GOOD,0,True,-58,RSSI -58 | Battery 3.0V,2025-09-17T20:17:08.865550Z
CF:2E:6D:F0:B3:15,3.0,3000,NEW,GOOD,0,True,-64,RSSI -64 | Battery 3.0V,2025-09-17T20:17:08.867537Z
D6:FE:6A:53:2A:13,2.9,2900,GOOD,GOOD,70.0,True,-72,RSSI -72 | Battery 2.9V,2025-09-17T20:17:08.875804Z
C7:EA:D8:BF:22:32,2.9,2900,GOOD,GOOD,70.0,True,-65,RSSI -65 | Battery 2.9V,2025-09-17T20:17:08.883798Z
E4:2D:2E:C3:3C:77,2.9,2900,GOOD,GOOD,70.0,True,-69,RSSI -69 | Battery 2.9V,2025-09-17T20:17:08.885808Z
E9:75:56:04:22:A8,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:08.887855Z
CA:67:54:E0:B2:A4,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.888798Z
C5:7D:6A:60:4E:27,3.0,3000,NEW,GOOD,0,True,-46,RSSI -46 | Battery 3.0V,2025-09-17T20:17:08.890271Z
EF:E9:FE:91:A6:77,2.9,2900,GOOD,GOOD,70.0,True,-56,RSSI -56 | Battery 2.9V,2025-09-17T20:17:08.948234Z
E9:46:88:48:C4:C7,2.9,2900,GOOD,GOOD,70.0,True,-60,RSSI -60 | Battery 2.9V,2025-09-17T20:17:08.949307Z
DD:A7:FB:58:E4:1E,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.951324Z
D9:F4:AD:F9:50:BF,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-17T20:17:08.952335Z
EA:12:59:2D:40:81,3.0,3000,NEW,GOOD,0,True,-58,RSSI -58 | Battery 3.0V,2025-09-17T20:17:08.954336Z
D2:F5:83:EC:A4:BA,2.9,2900,GOOD,GOOD,70.0,True,-66,RSSI -66 | Battery 2.9V,2025-09-17T20:17:08.958834Z
EA:36:63:10:B6:2C,3.0,3000,NEW,GOOD,0,True,-60,RSSI -60 | Battery 3.0V,2025-09-17T20:17:08.960109Z
F1:A9:87:89:B0:D7,2.7,2700,DEAD,FAIL,0,False,-56,RSSI -56 | Battery 2.7V,2025-09-17T20:17:08.962269Z
C3:12:C3:9C:D0:14,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.973123Z
DE:6C:BB:06:23:69,2.9,2900,GOOD,GOOD,70.0,True,-59,RSSI -59 | Battery 2.9V,2025-09-17T20:17:08.983702Z
ED:B5:65:71:42:21,2.9,2900,GOOD,GOOD,70.0,True,-57,RSSI -57 | Battery 2.9V,2025-09-17T20:17:08.986614Z
E4:6A:BC:57:E7:EA,3.0,3000,NEW,GOOD,0,True,-57,RSSI -57 | Battery 3.0V,2025-09-17T20:17:08.988605Z
E6:63:07:39:5A:68,2.9,2900,GOOD,GOOD,70.0,True,-63,RSSI -63 | Battery 2.9V,2025-09-17T20:17:08.990619Z
F2:49:C8:BE:53:D3,2.9,2900,GOOD,GOOD,70.0,True,-69,RSSI -69 | Battery 2.9V,2025-09-17T20:17:08.991612Z
