qr_or_mac,voltage_v,voltage_mv,category,status,percentage_estimate,pass_fail,rssi,comment,timestamp
CA:82:B7:DA:90:F1,2.9,2900,GOOD,GOOD,70.0,True,-67,RSSI -67 | Battery 2.9V,2025-09-19T22:22:05.226340Z
CB:79:5F:10:32:BF,2.9,2900,GOOD,GOOD,70.0,True,-49,RSSI -49 | Battery 2.9V,2025-09-19T22:22:05.227282Z
DA:C7:63:B9:E1:AE,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.239624Z
FB:7D:B3:38:15:26,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:05.240621Z
D1:A4:35:4A:FC:86,2.9,2900,GOOD,GOOD,70.0,True,-58,RSSI -58 | Battery 2.9V,2025-09-19T22:22:05.241684Z
C3:4A:84:29:C6:8F,2.9,2900,GOOD,GOOD,70.0,True,-46,RSSI -46 | Battery 2.9V,2025-09-19T22:22:05.242720Z
DC:01:E3:53:5F:10,2.9,2900,GOOD,GOOD,70.0,True,-62,RSSI -62 | Battery 2.9V,2025-09-19T22:22:05.244704Z
DB:31:58:4E:4A:0C,3.0,3000,NEW,GOOD,0,True,-50,RSSI -50 | Battery 3.0V,2025-09-19T22:22:05.246876Z
D5:EF:7F:2A:65:A8,2.9,2900,GOOD,GOOD,70.0,True,-47,RSSI -47 | Battery 2.9V,2025-09-19T22:22:05.247861Z
C5:44:C0:78:F1:30,2.9,2900,GOOD,GOOD,70.0,True,-48,RSSI -48 | Battery 2.9V,2025-09-19T22:22:05.250876Z
EB:2B:47:C2:E9:83,3.0,3000,NEW,GOOD,0,True,-45,RSSI -45 | Battery 3.0V,2025-09-19T22:22:05.251910Z
F4:01:FB:62:B8:0C,2.9,2900,GOOD,GOOD,70.0,True,-45,RSSI -45 | Battery 2.9V,2025-09-19T22:22:05.256899Z
DC:FE:AF:75:26:90,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:05.258891Z
C6:28:D1:47:99:1D,2.9,2900,GOOD,GOOD,70.0,True,-50,RSSI -50 | Battery 2.9V,2025-09-19T22:22:05.264102Z
F0:BE:74:4C:0C:CE,2.9,2900,GOOD,GOOD,70.0,True,-42,RSSI -42 | Battery 2.9V,2025-09-19T22:22:05.269977Z
D1:06:3F:27:DB:CD,3.0,3000,NEW,GOOD,0,True,-59,RSSI -59 | Battery 3.0V,2025-09-19T22:22:05.328455Z
CE:30:18:89:3B:50,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-19T22:22:05.330342Z
C6:26:F5:FA:E7:76,2.9,2900,GOOD,GOOD,70.0,True,-43,RSSI -43 | Battery 2.9V,2025-09-19T22:22:05.331358Z
C3:5B:FA:A1:C7:CC,2.9,2900,GOOD,GOOD,70.0,True,-51,RSSI -51 | Battery 2.9V,2025-09-19T22:22:05.332352Z
FD:2B:91:75:F8:C2,2.9,2900,GOOD,GOOD,70.0,True,-53,RSSI -53 | Battery 2.9V,2025-09-19T22:22:05.334349Z
ED:40:19:DB:7E:53,2.9,2900,GOOD,GOOD,70.0,True,-54,RSSI -54 | Battery 2.9V,2025-09-19T22:22:05.344325Z
CB:5E:AF:FD:5A:EF,2.9,2900,GOOD,GOOD,70.0,True,-52,RSSI -52 | Battery 2.9V,2025-09-19T22:22:05.345325Z
F7:6E:32:06:FB:D9,2.9,2900,GOOD,GOOD,70.0,True,-55,RSSI -55 | Battery 2.9V,2025-09-19T22:22:05.352333Z
